단어,좌문맥ID,우문맥ID,가중치(단어비용),품사태그,의미분류,종성 유무,읽기,타입,첫 품사,마지막 품사,원형,인덱스 표현
혈부축어탕,1786,3546,2953,NNP,*,T,혈부축어탕,Compound,*,*,*,혈/NNP/*+부축/NNP/*+어탕/NNP/*
형개연교탕,1786,3546,2953,NNP,*,T,형개연교탕,Compound,*,*,*,형개/NNP/*+연교/NNP/*+탕/NNP/*
형개청장탕,1786,3546,2953,NNP,*,T,형개청장탕,Compound,*,*,*,형/NNP/*+개청/NNP/*+장탕/NNP/*
형방지황탕,1786,3546,2953,NNP,*,T,형방지황탕,Compound,*,*,*,형방/NNP/*+지황탕/NNP/*
형소화중탕,1786,3546,2953,NNP,*,T,형소화중탕,Compound,*,*,*,형소/NNP/*+중탕/NNP/*
호금청담탕,1786,3546,2953,NNP,*,T,호금청담탕,Compound,*,*,*,호금/NNP/*+청담/NNP/*+탕/NNP/*
화석조위탕,1786,3546,2953,NNP,*,T,화석조위탕,Compound,*,*,*,화석/NNP/*+조위/NNP/*+탕/NNP/*
활락탕,1786,3546,2953,NNP,*,T,활락탕,Compound,*,*,*,활/NNP/*+탕/NNP/*
활석고삼탕,1786,3546,2953,NNP,*,T,활석고삼탕,Compound,*,*,*,활석/NNP/*+삼/NNP/*+탕/NNP/*
황금탕,1786,3546,2953,NNP,*,T,황금탕,Compound,*,*,*,황금/NNP/*+탕/NNP/*
황기건중탕,1786,3546,2953,NNP,*,T,황기건중탕,Compound,*,*,*,황기/NNP/*+중탕/NNP/*
황기계지부자탕,1786,3546,2953,NNP,*,T,황기계지부자탕,Compound,*,*,*,황기/NNP/*+지부자/NNP/*+탕/NNP/*
황기계지오물탕,1786,3546,2953,NNP,*,T,황기계지오물탕,Compound,*,*,*,황기/NNP/*+계지/NNP/*+오/NNP/*+물탕/NNP/*
황기계지탕,1786,3546,2953,NNP,*,T,황기계지탕,Compound,*,*,*,황기/NNP/*+계지탕/NNP/*
황련지황탕,1786,3546,2953,NNP,*,T,황련지황탕,Compound,*,*,*,황련/NNP/*+지황탕/NNP/*
황련청장탕,1786,3546,2953,NNP,*,T,황련청장탕,Compound,*,*,*,황련/NNP/*+청장/NNP/*+탕/NNP/*
황련탕,1786,3546,2953,NNP,*,T,황련탕,Compound,*,*,*,황련/NNP/*+탕/NNP/*
황련해독탕,1786,3546,2953,NNP,*,T,황련해독탕,Compound,*,*,*,황련/NNP/*+독탕/NNP/*
황룡탕,1786,3546,2953,NNP,*,T,황룡탕,*,*,*,*,황룡탕/NNP/*
황률소백피탕,1786,3546,2953,NNP,*,T,황률소백피탕,Compound,*,*,*,황률/NNP/*+소/NNP/*+백피/NNP/*+탕/NNP/*
황토탕,1786,3546,2953,NNP,*,T,황토탕,Compound,*,*,*,황토/NNP/*+탕/NNP/*
후박온중탕,1786,3546,2953,NNP,*,T,후박온중탕,Compound,*,*,*,후박/NNP/*+온중/NNP/*+탕/NNP/*
